time,event,session,trialNo,trialType
2895,R,1,1,Long
335,L,1,2,Short
600,L,1,2,Short
781,L,1,2,Short
984,L,1,2,Short
510,FC,1,4,Long
806,R,1,4,Long
1128,R,1,4,Long
2151,R,1,4,Long
2677,R,1,4,Long
3133,R,1,4,Long
3371,R,1,4,Long
3659,R,1,4,Long
377,L,1,5,Short
721,L,1,5,Short
721,R,1,6,Long
839,R,1,6,Long
1079,R,1,6,Long
1279,R,1,6,Long
2687,R,1,6,Long
2908,FC,1,6,Long
3825,R,1,6,Long
4100,R,1,6,Long
992,L,1,7,Short
1204,L,1,7,Short
380,L,1,8,Short
1201,L,1,8,Short
1370,L,1,8,Short
674,R,1,9,Long
2191,R,1,9,Long
2383,R,1,9,Long
3012,R,1,9,Long
3376,R,1,9,Long
3644,R,1,9,Long
3827,R,1,9,Long
4191,R,1,9,Long
4397,FC,1,9,Long
287,L,1,10,Short
1812,R,1,11,Long
2344,R,1,11,Long
2615,R,1,11,Long
2844,R,1,11,Long
3251,R,1,11,Long
3666,R,1,11,Long
3939,R,1,11,Long
4178,R,1,11,Long
2934,R,1,12,Long
3099,R,1,12,Long
3757,R,1,12,Long
3995,R,1,12,Long
4207,R,1,12,Long
884,R,1,13,Long
952,R,1,13,Long
3118,R,1,13,Long
926,R,1,14,Long
1134,R,1,14,Long
1316,R,1,14,Long
1615,FC,1,14,Long
2236,R,1,14,Long
2629,FC,1,14,Long
2737,R,1,14,Long
2847,R,1,14,Long
2855,R,1,14,Long
3091,R,1,14,Long
3481,R,1,14,Long
3659,R,1,14,Long
4074,R,1,14,Long
891,L,1,15,Short
1024,L,1,15,Short
1256,L,1,15,Short
1345,L,1,15,Short
1438,L,1,16,Short
487,R,1,17,Long
758,R,1,17,Long
1132,R,1,17,Long
1733,R,1,17,Long
2897,R,1,17,Long
3095,R,1,17,Long
3570,R,1,17,Long
3775,R,1,17,Long
700,L,1,18,Short
884,L,1,18,Short
1029,L,1,18,Short
1236,L,1,18,Short
1264,L,1,18,Short
922,R,1,19,Long
2414,R,1,19,Long
2519,R,1,19,Long
3245,R,1,19,Long
3447,R,1,19,Long
3788,R,1,19,Long
3991,R,1,19,Long
537,L,1,21,Short
702,L,1,21,Short
1222,L,1,21,Short
410,R,1,22,Long
1068,R,1,22,Long
1551,R,1,22,Long
1860,R,1,22,Long
2032,R,1,22,Long
3476,R,1,22,Long
3710,R,1,22,Long
4100,R,1,22,Long
254,L,1,23,Short
373,L,1,23,Short
1428,L,1,23,Short
636,R,1,24,Long
1182,R,1,24,Long
1424,R,1,24,Long
2128,R,1,24,Long
3489,R,1,24,Long
3781,R,1,24,Long
4442,R,1,24,Long
9,R,1,25,Long
308,R,1,25,Long
852,R,1,25,Long
1102,R,1,25,Long
1338,R,1,25,Long
1543,R,1,25,Long
2008,R,1,25,Long
2100,R,1,25,Long
3146,R,1,25,Long
3281,R,1,25,Long
3714,R,1,25,Long
3897,R,1,25,Long
1375,L,1,26,Short
432,R,1,27,Long
703,R,1,27,Long
1073,R,1,27,Long
1728,R,1,27,Long
2010,R,1,27,Long
2625,R,1,27,Long
3923,R,1,27,Long
4026,R,1,27,Long
202,L,1,28,Short
1265,L,1,28,Short
1340,L,1,28,Short
1482,L,1,28,Short
942,R,1,29,Long
1158,R,1,29,Long
1466,R,1,29,Long
1632,R,1,29,Long
3963,R,1,29,Long
4483,R,1,29,Long
219,L,1,30,Short
519,L,1,30,Short
268,R,1,31,Long
846,R,1,31,Long
1475,R,1,31,Long
1607,R,1,31,Long
1797,R,1,31,Long
2396,R,1,31,Long
2486,R,1,31,Long
2701,R,1,31,Long
2902,R,1,31,Long
3130,R,1,31,Long
3997,R,1,31,Long
222,L,1,32,Short
832,L,1,32,Short
468,R,1,33,Long
1038,R,1,33,Long
1274,R,1,33,Long
1539,R,1,33,Long
2419,R,1,33,Long
2625,R,1,33,Long
2975,R,1,33,Long
3309,R,1,33,Long
771,R,1,34,Long
1373,R,1,34,Long
1477,R,1,34,Long
2168,R,1,34,Long
2422,R,1,34,Long
2726,R,1,34,Long
2883,R,1,34,Long
1168,L,1,35,Short
1429,L,1,36,Short
2064,R,1,37,Long
2490,R,1,37,Long
2972,R,1,37,Long
3971,R,1,37,Long
4282,R,1,37,Long
795,R,1,38,Long
1121,R,1,38,Long
1298,R,1,38,Long
2080,R,1,38,Long
261,R,1,39,Long
3590,R,1,39,Long
4059,R,1,39,Long
4298,R,1,39,Long
367,L,1,41,Short
547,L,1,41,Short
996,L,1,41,Short
1030,L,1,41,Short
819,L,1,42,Short
1044,L,1,42,Short
1310,R,1,43,Long
2098,R,1,43,Long
2169,R,1,43,Long
2726,FC,1,43,Long
2845,R,1,43,Long
3005,R,1,43,Long
181,L,1,44,Short
734,L,1,44,Short
785,L,1,44,Short
1022,R,1,46,Long
401,R,1,47,Long
1632,R,1,47,Long
2730,R,1,47,Long
2921,R,1,47,Long
3351,R,1,47,Long
1417,R,1,49,Long
4025,R,1,49,Long
4111,R,1,50,Long
128,R,1,55,Long
1449,L,2,57,Short
1473,L,2,57,Short
478,L,2,58,Short
711,L,2,58,Short
851,L,2,58,Short
1084,L,2,58,Short
188,L,2,59,Short
410,L,2,59,Short
863,L,2,59,Short
1386,L,2,59,Short
1464,L,2,59,Short
104,R,2,60,Long
286,R,2,60,Long
353,R,2,60,Long
586,R,2,60,Long
1321,R,2,60,Long
1504,R,2,60,Long
1818,R,2,60,Long
1947,R,2,60,Long
2109,R,2,60,Long
2287,R,2,60,Long
2896,R,2,60,Long
3045,R,2,60,Long
3280,R,2,60,Long
349,R,2,61,Long
700,R,2,61,Long
1497,R,2,61,Long
2169,R,2,61,Long
2463,R,2,61,Long
2758,R,2,61,Long
2947,R,2,61,Long
3110,R,2,61,Long
3473,R,2,61,Long
3729,R,2,61,Long
4166,R,2,61,Long
4347,R,2,61,Long
224,R,2,62,Long
571,R,2,62,Long
704,R,2,62,Long
709,R,2,62,Long
778,R,2,62,Long
951,R,2,62,Long
1123,R,2,62,Long
1763,R,2,62,Long
2147,R,2,62,Long
2325,R,2,62,Long
2539,R,2,62,Long
2910,R,2,62,Long
3074,R,2,62,Long
3093,R,2,62,Long
3517,R,2,62,Long
3699,R,2,62,Long
4004,R,2,62,Long
4283,R,2,62,Long
236,R,2,63,Long
526,R,2,63,Long
838,R,2,63,Long
1027,R,2,63,Long
2123,R,2,63,Long
2474,R,2,63,Long
2658,R,2,63,Long
2847,R,2,63,Long
2882,R,2,63,Long
3024,R,2,63,Long
3195,R,2,63,Long
3653,R,2,63,Long
3784,R,2,63,Long
4030,R,2,63,Long
4247,R,2,63,Long
4363,R,2,63,Long
284,R,2,64,Long
396,R,2,64,Long
914,R,2,64,Long
1191,R,2,64,Long
1597,R,2,64,Long
1852,R,2,64,Long
2055,R,2,64,Long
2321,R,2,64,Long
2498,R,2,64,Long
2693,R,2,64,Long
3177,R,2,64,Long
3441,R,2,64,Long
3453,R,2,64,Long
3810,R,2,64,Long
4033,R,2,64,Long
4215,R,2,64,Long
174,L,2,65,Short
512,L,2,65,Short
1250,L,2,65,Short
1380,L,2,65,Short
1449,L,2,65,Short
234,R,2,66,Long
787,R,2,66,Long
1130,R,2,66,Long
1432,R,2,66,Long
1596,R,2,66,Long
1727,R,2,66,Long
2177,R,2,66,Long
2281,R,2,66,Long
2589,R,2,66,Long
2691,R,2,66,Long
2776,R,2,66,Long
2883,R,2,66,Long
2953,R,2,66,Long
3414,R,2,66,Long
3531,R,2,66,Long
3688,R,2,66,Long
3978,R,2,66,Long
4228,R,2,66,Long
267,L,2,67,Short
853,L,2,67,Short
959,L,2,67,Short
982,L,2,67,Short
1056,L,2,67,Short
379,L,2,68,Short
530,L,2,68,Short
989,L,2,68,Short
1215,L,2,68,Short
1308,L,2,68,Short
411,R,2,69,Long
589,R,2,69,Long
893,R,2,69,Long
1340,R,2,69,Long
1674,R,2,69,Long
2014,R,2,69,Long
2129,R,2,69,Long
2273,R,2,69,Long
2362,R,2,69,Long
2466,R,2,69,Long
2600,R,2,69,Long
3009,R,2,69,Long
3172,R,2,69,Long
3421,R,2,69,Long
4253,R,2,69,Long
4408,R,2,69,Long
185,L,2,70,Short
401,L,2,70,Short
781,L,2,70,Short
985,L,2,70,Short
1182,L,2,70,Short
251,R,2,71,Long
585,R,2,71,Long
766,R,2,71,Long
911,R,2,71,Long
1087,R,2,71,Long
1462,R,2,71,Long
1888,R,2,71,Long
2346,R,2,71,Long
2650,R,2,71,Long
2778,R,2,71,Long
3105,R,2,71,Long
